00000001	4567890123	2023-03-20	3-4567-8901-3	3	ordered
00000002	4567890123	2023-03-23	1-2345-6789-0	5	ordered
00000003	4567890123	2023-03-23	6-7890-1234-5	3	received
00000004	3456789012	2023-03-23	5-6789-0123-5	4	ordered
00000005	4567890123	2023-03-24	8-9012-3456-7	9	received
00000006	4567890123	2023-03-24	9-0123-4567-8	1	ordered
00000007	3456789012	2023-03-25	3-4567-8901-3	5	received
00000008	1234567890	2023-03-25	4-5678-9012-4	7	ordered
00000009	1234567890	2023-03-26	3-4567-8901-3	10	received
00000010	2345678901	2023-03-26	5-6789-0123-4	5	ordered
00000011	3456789012	2023-03-27	4-5678-9012-3	2	ordered
00000012	3456789012	2023-03-27	1-2345-6789-0	6	ordered
00000013	4567890123	2023-03-27	3-4567-8901-2	5	shipped
00000014	5678901234	2023-03-28	7-8901-2345-6	5	ordered
00000015	2345678901	2023-03-28	6-7890-1234-5	1	received
00000016	1234567890	2023-03-28	0-1234-5678-9	9	shipped
00000017	4567890123	2023-03-28	7-8901-2345-6	2	ordered
00000018	5678901234	2023-04-01	1-2345-6789-1	3	shipped
00000019	2345678901	2023-04-01	4-5678-9012-3	3	ordered
00000020	2345678901	2023-04-01	4-5678-9012-3	9	received
00000021	2345678901	2023-04-02	0-1234-5678-9	9	shipped
00000022	1234567890	2023-04-02	1-2345-6789-0	1	ordered
00000023	3456789012	2023-04-02	2-3456-7890-1	4	shipped
00000024	3456789012	2023-04-03	3-4567-8901-3	8	received
00000025	5678901234	2023-04-03	3-4567-8901-3	1	ordered
00000026	4567890123	2023-04-03	7-8901-2345-6	2	shipped
00000027	2345678901	2023-04-03	3-4567-8901-2	5	ordered
00000028	5678901234	2023-04-04	5-6789-0123-4	6	received
00000029	2345678901	2023-04-05	5-6789-0123-4	1	ordered
00000030	2345678901	2023-04-06	1-2345-6789-1	3	received
00000031	2345678901	2023-04-07	8-6789-8743-4	15	ordered
00000032	5678901234	2023-04-07	1-2345-0000-1	9	ordered
