00000001, 001, 2022-03-20, 978-0545582935, 2, ordered
00000001, 001, 2022-03-20, 978-0545582911, 3, ordered
00000002, 002, 2022-03-21, 978-0061122415, 1, shipped
00000002, 002, 2022-03-21, 978-0451524935, 2, shipped
00000002, 002, 2022-03-21, 978-0060850524, 3, shipped
00000003, 003, 2022-03-22, 978-0545582935, 1, received
00000003, 003, 2022-03-22, 978-0545582997, 2, received
00000004, 004, 2022-03-23, 978-0545585004, 1, ordered
00000004, 004, 2022-03-23, 978-0061120084, 3, ordered
00000005, 001, 2022-03-24, 978-0590353403, 2, ordered
00000005, 001, 2022-03-24, 978-0061124952, 1, ordered
00000006, 002, 2022-03-25, 978-0545582956, 4, shipped
00000006, 002, 2022-03-25, 978-0316017930, 2, shipped
00000007, 003, 2022-03-26, 978-0061124952, 1, received
00000007, 003, 2022-03-26, 978-0545582987, 2, received
00000008, 004, 2022-03-27, 978-0545583014, 3, ordered
00000008, 004, 2022-03-27, 978-0590353427, 2, ordered
00000008, 004, 2022-03-27, 978-0061120930, 1, ordered
00000009, 005, 2022-03-28, 978-0545583014, 2, shipped
00000009, 005, 2022-03-28, 978-0061120084, 3, shipped
00000010, 001, 2022-03-29, 978-0545583007, 1, received
00000011, 002, 2022-03-30, 978-0061124952, 2, ordered
00000011, 002, 2022-03-30, 978-0545583014, 1, ordered
00000012, 003, 2022-03-31, 978-0061124952, 1, shipped
00000012, 003, 2022-03-31, 978-0590353427, 3, shipped
00000013, 004, 2022-04-01, 978-0061124952, 2, received
00000013, 004, 2022-04-01, 978-0545582997, 1, received
00000014, 005, 2022-04-02, 978-0061120084, 1, ordered
00000014, 005, 2022-04-02, 978-0316017930, 2, ordered
00000014, 005, 2022-04-02, 978-0060850524, 3, ordered
